timestamp_ms,state,rawMoist,moist_pct,on_thresh,temp_c,humidity_pct,vpd_kpa,dht_ok,pump_on,water_raw,water_present
14848120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14849120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14850120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14851121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14852120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14853120,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14854120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14855120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14856120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14857120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14858121,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,1,0,891,1
14859120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,890,1
14860120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14861120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14862120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14863120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14864120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14865121,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,1,0,890,1
14866120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14867120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14868120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14869120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14870120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14871120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14872121,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,1,0,891,1
14873120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14874120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,890,1
14875120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14876120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14877120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,890,1
14878120,WaterLoop,361,0.37,0.35,23.0,39.0,1.714,0,0,891,1
14879121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14880120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14881120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14882120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14883120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14884120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14885120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14886121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
14887120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14888120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14889120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14890120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14891120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14892120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14893121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14894120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14895120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14896120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14897120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14898120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14899120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
